nation,cls,date,rb_br,rb_lower_br,rb_battles_sum,rb_battles_mean,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death
Britain,Ground_vehicles,2020-09-03,1.0 ~ 11.3,1.0,125279.0,3260.624314834052,51.90120626761069,0.04171640897516743,0.043327133837275204,1.9220509422967933,1.7451535373047355
Britain,Ground_vehicles,2020-08-31,1.0 ~ 11.3,1.0,121496.0,3127.5427226097195,51.83726073286363,0.04146844340554421,0.04335048067426088,1.9338404556528612,1.749656120366103
Britain,Ground_vehicles,2020-08-28,1.0 ~ 11.3,1.0,115962.0,2933.056338426956,51.73365171349235,0.03987004363498388,0.04194279160414619,1.9501447888101273,1.757371035339163
Britain,Ground_vehicles,2020-08-25,1.0 ~ 11.3,1.0,109935.0,2716.6208177776043,51.763021057897845,0.038904534497657704,0.04068149360986038,1.9655817528539594,1.7605091190248785
Britain,Ground_vehicles,2020-08-22,1.0 ~ 11.3,1.0,107539.0,2629.0866616718013,51.79137354820112,0.03847376300690912,0.04070876612205804,1.9707340592715203,1.7594975776230017
Britain,Ground_vehicles,2020-08-19,1.0 ~ 11.3,1.0,104822.0,2528.0403455835785,51.78634685466791,0.03816689244624221,0.04004483791570473,1.9756460475854305,1.7554056400373965
Britain,Ground_vehicles,2020-08-16,1.0 ~ 11.3,1.0,102395.0,2433.6950377273815,51.72892514282923,0.038173738952097275,0.03945339127887105,1.9786299135699987,1.7462684701401434
Britain,Ground_vehicles,2020-08-13,1.0 ~ 11.3,1.0,101883.0,2406.187507425651,51.718622145009476,0.03771306302327179,0.038757987102853275,1.976412944259592,1.7427435391576613
Britain,Ground_vehicles,2020-08-10,1.0 ~ 11.3,1.0,101820.0,2381.5433461243465,51.698530053034766,0.03734944018856806,0.03805283834217246,1.9710596150068749,1.7380262227460224
Britain,Ground_vehicles,2020-08-07,1.0 ~ 11.3,1.0,102452.0,2384.3386858050135,51.65073898020537,0.03681060399016125,0.037861925584664044,1.9664923085932922,1.7338680552844257
