name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name
su_24m,10.0,,,,,0.6,326.0,49.84,0.24,0.16,1.65,1.36,112.0,17.86,0.07,0.02,7.75,3.97,Су-24М
mig-21_bis_lazur,,,,,,,429.0,47.28,1.07,1.2,0.06,0.07,14.0,,,1.46,,,"◊MiG-21_""Lazur-M"""
saab_j35d,,,,,,,65.0,78.49,2.21,2.48,0.31,0.54,,,,,,,J35D
mirage_f1c_200,5.0,66.67,6.3,5.25,,,2309.0,61.31,1.0,1.3,0.28,0.36,134.0,100.0,13.19,2.48,,,Mirage_F1C-200
f_111c_raaf,,,,,,,26.0,55.56,0.56,0.81,2.81,3.92,,,,,,,F-111C
f-5a,8.0,,,,,,,,,,,,,,,,,,F-5A
f_111f,,,,,,,179.0,69.89,1.25,1.18,4.23,3.79,,,,,,,F-111F
f-4jk,,,,,,,148.0,80.25,1.45,1.04,1.51,1.33,,,,,,,F-4J(UK)_Phantom_II
tornado_ids_it,,,,,,,28.0,27.78,0.83,0.85,0.72,0.58,,,,,,,Tornado_IDS
mig_23mld,149.0,67.75,3.37,3.34,0.47,0.45,596.0,52.28,1.22,1.48,0.05,0.05,34.0,,,0.75,,,MiG-23MLD
f-4ej_adtw,,,,,,,527.0,45.3,1.27,1.15,0.37,0.3,69.0,,,0.99,,,F-4EJ_ADTW
mig-21_bis_sau,15.0,,,1.0,,0.53,138.0,31.4,1.7,2.22,0.08,0.12,,,,,,,◊MiG-21bis-SAU
harrier_frs1,,,,,,,43.0,50.0,0.5,1.0,,,,,,,,,Sea_Harrier_FRS.1
jaguar_gr1a,,,,,,,62.0,89.74,0.31,0.31,2.61,2.75,,,,,,,Jaguar_GR.1A
saab_aj37,,,,,,,106.0,56.0,0.81,0.95,0.82,0.77,11.0,,,,,1.0,AJ37
f-4s,223.0,47.7,2.58,1.92,,,1668.0,47.61,0.92,1.03,0.14,0.15,51.0,,,0.15,,,F-4S_Phantom_II
f-104s,15.0,,,,,2.0,148.0,49.68,1.05,1.2,4.24,4.9,,,,,,,F-104S
su_22m4_de_wtd61,,,,,,,232.0,55.21,0.94,1.22,1.81,2.3,,,,,,,◄Su-22M4_WTD61
a_7e,,,,,,,,,,,,,,,,,,,A-7E
mirage_3c,,,,,,,744.0,60.45,1.67,2.45,0.26,0.38,,,,,,,Mirage_IIIC
f-4j,97.0,32.74,2.4,2.57,0.29,0.3,606.0,44.16,0.81,0.96,0.14,0.18,,,,,,,F-4J_Phantom_II
f-105d,48.0,59.09,0.41,0.31,6.66,7.67,100.0,40.87,0.39,0.7,1.8,2.93,,,,,,,F-105D
kfir_c7,,,,,,,,,,,,,1.0,,,2.0,,,Kfir_C.7
mig_27k,31.0,100.0,0.25,0.23,4.75,4.77,23.0,100.0,0.69,0.47,2.0,2.95,,,,,,,MiG-27K
a_7k,,,,,,,,,,,,,,,,,,,A-7K
su_22m3,96.0,33.57,0.87,0.61,1.88,1.71,543.0,49.44,0.34,0.33,0.41,0.43,40.0,,,,,,Su-22M3
f-104g_china,,,,,,,68.0,33.33,,,,,,,,,,,F-104G_(China)
f-104g,6.0,50.0,1.0,2.0,,,18.0,,,,,,,,,,,,◄F-104G
mirage_5f,,,,,,,10.0,,,,,1.0,,,,,,,Mirage_5F
a_7e_thailand,28.0,50.0,1.25,1.4,1.5,1.75,24.0,,,,,2.13,,,,,,,A-7E
f-4k,22.0,100.0,3.13,1.77,,,90.0,43.25,0.92,1.02,0.06,0.12,,,,,,,Phantom_FG.1
su_25tm,68.0,91.03,1.78,1.41,9.03,6.77,1582.0,54.42,0.44,0.52,1.59,1.91,172.0,,,0.23,,0.28,Su-39
nesher,,,,,,,9.0,,,,,,,,,,,,Nesher
mirage_3cj,15.0,100.0,1.0,1.0,,,41.0,100.0,3.0,3.0,1.0,1.0,,,,,,,Shahak
f-5a_thailand,20.0,50.0,1.75,1.35,1.0,0.85,7.0,50.0,1.43,2.86,,,,,,,,,F-5A
f-4e_iaf,,,,,,,317.0,53.88,1.17,1.18,0.7,0.72,3.0,,,,,,Kurnass
f-5t_thailand,8.0,,,,,,228.0,58.67,1.24,2.52,1.52,3.04,,,,,,,F-5T_SCU
f-4c,2.0,50.0,0.5,1.0,0.5,1.0,242.0,62.51,1.81,2.49,1.14,1.36,60.0,,,0.32,,,F-4C_Phantom_II
mig_23mf_germany,12.0,50.0,0.5,1.0,,,13.0,,,,,,,,,,,,◊MiG-23MF
saab_ajs37,,,,,,,204.0,59.57,0.15,0.19,2.64,3.64,,,,,,,AJS37
su_25t,148.0,58.51,1.22,1.11,6.14,5.59,280.0,49.48,0.35,0.38,2.76,3.07,21.0,,,,,,Su-25T
av_8s_late_thailand,8.0,100.0,1.0,1.0,,,39.0,30.56,0.81,1.19,0.39,0.39,,,,,,,AV-8S_Late
su_22m4,12.0,50.0,0.5,0.5,4.0,4.0,12.0,,,,,,,,,,,,◊Su-22M4
f-5ag_norway,,,,,,,148.0,64.21,0.77,1.07,0.21,0.23,,,,,,,◢F-5A(G)
jaguar_a,,,,,,,48.0,88.41,,,2.43,3.3,,,,,,,Jaguar_A
mirage_f1c,15.0,100.0,2.0,2.0,6.0,6.0,123.0,50.0,1.48,1.25,0.41,0.35,4.0,,,,,,Mirage_F1C
su_25_558arz,4.0,100.0,1.0,1.0,6.0,6.0,737.0,57.98,0.22,0.25,2.24,2.53,,,,,,,Su-25BM
a_10a_late,5.0,50.0,1.0,2.0,2.0,4.0,498.0,66.67,0.69,0.79,4.89,5.57,20.0,,,,3.0,6.28,A-10A_Late
j_8b,,,,,,,4.0,50.0,0.5,1.0,,,,,,,,,J-8B
mig_23mla,25.0,66.67,2.0,2.0,0.3,0.3,310.0,56.66,1.36,1.85,0.03,0.03,16.0,,,1.94,,,◊MiG-23MLA
f-104s_asa,15.0,100.0,1.0,1.0,3.0,3.0,,,,,,,,,,,,,F-104S.ASA
harrier_t10,,,,,,,106.0,64.75,0.08,0.12,1.48,1.8,16.0,,,0.19,,0.38,Harrier_T.10
mig-21_bis,93.0,35.26,1.59,1.5,0.35,0.27,57.0,68.96,0.8,1.32,0.01,0.01,,,,,,,MiG-21bis
su_22um3k,24.0,75.0,0.8,1.0,5.5,7.3,57.0,29.03,0.46,0.47,1.99,2.09,,,,,,,◊Su-22UM3K
super_etendard_97,,,,,,,139.0,72.22,0.32,0.37,3.29,3.45,,,,,,,Super_Etendard
harrier_frs1_early,,,,,,,,,,,,,,,,,,,Sea_Harrier_FRS.1_(e)
kfir_c2,29.0,91.67,4.5,2.4,,,63.0,50.0,0.59,0.91,,,,,,,,,Kfir_C.2
a_7d,,,,,,,25.0,50.0,,,1.6,3.2,10.0,,,,,,A-7D
