name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,nation,cls,ab_br,rb_br,sb_br
germ_pz_IV_L70_A,130.0,63.44,,,2.04,1.39,153.0,10.83,,,1.26,0.92,,,,,,,Panzer_IV/70(A),Panzer_IV/70(A),Germany,Ground_vehicles,5.0,5.0,5.0
us_m4a3e2_sherman_jumbo_cobra_king,7231.0,64.81,,,2.78,3.14,6751.0,79.81,,,2.33,2.46,,,,,,,Cobra_King,Cobra_King,USA,Ground_vehicles,5.0,5.0,5.0
fr_lorraine_155,59.0,50.0,,,2.13,2.75,104.0,59.68,,,1.75,1.29,38.0,,,,,,Lorraine_155_Mle.50,Lorraine_155_Mle.50,France,Ground_vehicles,4.3,4.3,4.3
jp_type_5_na_to,2163.0,59.01,0.06,0.07,2.35,2.62,524.0,50.83,,,3.07,2.15,,,,,,,Na-To,Na-To,Japan,Ground_vehicles,3.3,3.3,3.3
ussr_zis_43,480.0,39.5,2.1,5.1,0.12,0.22,800.0,26.7,0.14,0.12,0.27,0.21,,,,,,,ZiS-43,ZiS-43,USSR,Ground_vehicles,4.0,4.0,4.0
jp_m24_chaffee,5755.0,60.94,0.03,0.04,2.47,2.72,2328.0,59.11,,,2.37,1.9,29.0,100.0,,,2.21,1.58,M24,M24,USA,Ground_vehicles,3.3,3.3,3.3
jp_m4a3e8_76w_sherman,882.0,53.54,,,2.35,2.37,2098.0,64.13,,,2.76,2.29,182.0,85.3,,,3.33,1.7,M4A3_(76)_W,M4A3_(76)_W,USA,Ground_vehicles,5.3,5.3,5.3
ussr_m4a2_76w_sherman,1366.0,61.71,0.07,0.06,3.17,3.09,1394.0,34.13,,,2.1,1.78,168.0,100.0,0.24,0.12,8.46,4.66,M4A2,M4A2,USA,Ground_vehicles,4.0,3.7,3.7
jp_type_3_chi_nu_75cm_type_5,5139.0,63.21,0.1,0.1,3.66,3.93,3731.0,59.99,,,4.18,3.38,113.0,100.0,,,3.68,2.36,Chi-Nu_II,Chi-Nu_II,Japan,Ground_vehicles,3.7,3.7,3.7
us_halftrack_m15,773.0,37.42,1.55,2.97,0.11,0.22,318.0,52.9,0.24,0.25,0.23,0.25,,,,,,,M15A1_CGMC,M15A1_CGMC,USA,Ground_vehicles,3.3,3.3,3.3
ussr_kv_1e,1979.0,65.92,0.05,0.06,3.57,4.26,1145.0,58.78,,,4.83,3.65,,,,,,,KV-1E,KV-1E,USSR,Ground_vehicles,4.3,4.0,4.3
