name,ab_battles,ab_win_rate,ab_air_frags_per_battle,ab_air_frags_per_death,ab_ground_frags_per_battle,ab_ground_frags_per_death,rb_battles,rb_win_rate,rb_air_frags_per_battle,rb_air_frags_per_death,rb_ground_frags_per_battle,rb_ground_frags_per_death,sb_battles,sb_win_rate,sb_air_frags_per_battle,sb_air_frags_per_death,sb_ground_frags_per_battle,sb_ground_frags_per_death,alt_name,wk_name,cls,nation,ab_br,rb_br,sb_br,ab_repair,rb_repair,sb_repair,is_premium,ab_rp_rate,ab_sl_rate,rb_rp_rate,rb_sl_rate,sb_rp_rate,sb_sl_rate
ussr_skr_pr159,,,,,,,,,,,,,,,,,,,Pr._159,Pr._159,Fleet,USSR,4.0,4.0,4.0,2212.0,3195.0,,False,154,150,154,130,154,100
ussr_destroyer_7y_stroyny,,,,,,,,,,,,,,,,,,,"Pr._7U_""Stroyny""",Pr._7U_Stroyny,Fleet,USSR,4.3,4.3,4.3,1660.0,2140.0,,True,308,200,308,260,308,100
us_destroyer_fletcher_bennion,,,,,,,,,,,,,,,,,,,Bennion_(DD-662),Bennion_(DD-662),Fleet,USA,4.3,4.3,4.3,1900.0,2140.0,,True,308,200,308,260,308,100
uk_destroyer_haida,,,,,,,,,,,,,,,,,,,Haida_(G63),Haida_(G63),Fleet,Britain,4.3,4.3,4.3,1730.0,2500.0,,True,308,180,308,260,308,100
uk_destroyer_g_grafton,,,,,,,,,,,,,,,,,,,G-class_(H89),G-class_(H89),Fleet,Britain,4.0,4.0,4.0,1935.0,1922.0,,False,148,150,148,130,148,100
uk_destroyer_n_class,,,,,,,,,,,,,,,,,,,N_class_(G25),N_class_(G25),Fleet,Britain,4.3,4.3,4.3,4007.0,6218.0,,False,166,110,166,140,166,100
uk_destroyer_battle_2series,,,,,,,,,,,,,,,,,,,Battle_(D14),Battle_(D14),Fleet,Britain,4.3,4.3,4.3,4701.0,5905.0,,False,172,110,172,140,172,100
uk_destroyer_clemson_churchill,,,,,,,,,,,,,,,,,,,Clemson_(L45),Clemson_(L45),Fleet,Britain,3.7,3.7,3.7,937.0,937.0,,False,136,150,136,120,136,100
uk_destroyer_tribal,,,,,,,,,,,,,,,,,,,Tribal_(F75),Tribal_(F75),Fleet,Britain,4.3,4.3,4.3,2615.0,3837.0,,False,160,110,160,140,160,100
us_elco_80ft_pt_boat_thunderbolt,,,,,,,,,,,,,,,,,,,Elco_80_ft_PT-556,Elco_80_ft_PT-556,Fleet,USA,3.0,3.0,3.0,2300.0,2600.0,,True,296,180,296,220,296,100
germ_escort_typem1943,,,,,,,,,,,,,,,,,,,Type_M_1943,Type_M_1943,Fleet,Germany,3.3,3.3,3.3,1750.0,2800.0,,True,332,120,332,220,332,100
ussr_pr_191,,,,,,,,,,,,,,,,,,,Pr.191,Pr.191,Fleet,USSR,2.7,2.7,2.7,2544.0,2964.0,,False,142,120,142,120,142,100
ussr_mkl_186_mk85,,,,,,,,,,,,,,,,,,,MBK_pr.186_(MK_85),MBK_pr.186_(MK_85),Fleet,USSR,3.0,3.0,3.0,3800.0,7320.0,,True,332,200,332,260,332,100
uk_fairmile_d_5001_5029,,,,,,,,,,,,,,,,,,,Fairmile_D_(5001),Fairmile_D_(5001),Fleet,Britain,3.7,3.7,3.7,1390.0,1350.0,,True,260,200,260,220,260,100
us_elco_80ft_pt_boat_mod02,,,,,,,,,,,,,,,,,,,Elco_80_ft_PT-565,Elco_80_ft_PT-565,Fleet,USA,3.0,3.0,3.0,2028.0,2548.0,,False,148,100,148,120,148,100
us_pt810,,,,,,,,,,,,,,,,,,,89_ft_PT-810,89_ft_PT-810,Fleet,USA,3.7,3.7,3.7,4831.0,4957.0,,False,184,130,184,120,184,100
us_elco_77ft_pt59,,,,,,,,,,,,,,,,,,,Elco_77_ft_PT-59,Elco_77_ft_PT-59,Fleet,USA,3.0,3.0,3.0,3551.0,3912.0,,False,154,100,154,110,154,100
us_ashville_class,,,,,,,,,,,,,,,,,,,Asheville_(PGM-84),Asheville_(PGM-84),Fleet,USA,4.0,4.0,4.0,4324.0,6423.0,,False,196,130,196,140,196,100
us_lcs_l_3,,,,,,,,,,,,,,,,,,,LCS(L)(3),LCS(L)(3),Fleet,USA,4.0,4.0,4.0,6033.0,6423.0,,False,172,150,172,140,172,100
us_higgins_78ft_pt625,,,,,,,,,,,,,,,,,,,Higgins_78_ft_PT-200,Higgins_78_ft_PT-200,Fleet,USA,2.7,2.7,2.7,1775.0,2282.0,,False,142,90,142,110,142,100
us_tucumcari_pgh2,,,,,,,,,,,,,,,,,,,PGH-2,PGH-2,Fleet,USA,3.3,3.3,3.3,4438.0,5186.0,,False,166,110,166,120,166,100
us_elco_80ft_pt_boat_mod01,,,,,,,,,,,,,,,,,,,Elco_80_ft_PT-314,Elco_80_ft_PT-314,Fleet,USA,2.7,2.7,2.7,1293.0,1800.0,,False,130,80,130,100,130,100
